artists,country,popularity,is_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s,artist_count,artists_list
"chefin, lb único",PT,79,True,0.791,0.819,9,-2.283,0,0.188,0.513,0.0,0.0811,0.709,130.005,4,162.461,2,"['chefin', 'lb único']"
"sentino, bnp",PL,53,False,0.591,0.515,0,-8.105,0,0.396,0.272,0.0,0.118,0.627,129.968,4,217.85,2,"['sentino', 'bnp']"
"ekipa, modelki, qry, wersow, mortal, vłodarski, świeży",PL,56,False,0.803,0.755,11,-8.291,0,0.211,0.273,0.0,0.238,0.574,124.021,4,145.403,7,"['ekipa', 'modelki', 'qry', 'wersow', 'mortal', 'vłodarski', 'świeży']"
"sobel, francis",PL,76,False,0.423,0.687,7,-7.865,0,0.223,0.00571,0.0,0.106,0.254,148.419,4,148.187,2,"['sobel', 'francis']"
żabson,PL,74,True,0.69,0.601,10,-9.346,1,0.0555,0.005,0.0,0.308,0.153,146.002,4,166.567,1,['żabson']
"dawid podsiadło, kaśka sochacka, zorza",PL,58,False,0.627,0.633,6,-7.179,0,0.0338,0.503,5.62e-05,0.109,0.438,126.058,4,244.373,3,"['dawid podsiadło', 'kaśka sochacka', 'zorza']"
"sobel, shdøw, francis",PL,73,False,0.719,0.584,1,-12.63,1,0.0941,0.0319,0.0,0.315,0.575,110.01,4,150.545,3,"['sobel', 'shdøw', 'francis']"
alex warren,PL,95,False,0.368,0.694,2,-6.141,1,0.06,0.704,6.59e-06,0.055,0.391,168.115,3,186.964,1,['alex warren']
"sentino, bnp, amadeusz ferrari",PL,51,False,0.816,0.538,7,-8.905,0,0.158,0.572,0.00048,0.112,0.38,135.025,4,170.671,3,"['sentino', 'bnp', 'amadeusz ferrari']"
"mata, maryla rodowicz",PL,73,True,0.703,0.729,1,-6.805,1,0.271,0.0983,0.0,0.0785,0.736,90.326,4,234.666,2,"['mata', 'maryla rodowicz']"
"zippy ogar, @atutowy, nowe rozdanie",PL,69,True,0.689,0.666,7,-5.377,0,0.234,0.133,0.0,0.315,0.41,155.128,4,168.965,3,"['zippy ogar', '@atutowy', 'nowe rozdanie']"
"pezet, auer",PL,70,True,0.47,0.637,9,-8.33,0,0.187,0.17,7.65e-05,0.12,0.554,88.827,4,195.704,2,"['pezet', 'auer']"
"modelki, vłodarski",PL,71,False,0.802,0.761,1,-5.208,0,0.0701,0.699,0.0,0.121,0.698,127.997,4,123.75,2,"['modelki', 'vłodarski']"
"sobel, francis, deemz",PL,67,False,0.61,0.685,6,-8.319,1,0.0354,0.189,0.0,0.12,0.583,120.015,4,152.386,3,"['sobel', 'francis', 'deemz']"
"po prostu kajtek, zippy ogar, shelast, matiorzel, nowe rozdanie",PL,69,True,0.543,0.799,1,-4.786,1,0.373,0.115,0.0,0.105,0.526,145.116,4,186.929,5,"['po prostu kajtek', 'zippy ogar', 'shelast', 'matiorzel', 'nowe rozdanie']"
"ekipa, friz, kacper blonsky, postirol, kartonii",PL,48,True,0.679,0.764,8,-7.821,0,0.271,0.625,0.0,0.247,0.721,159.921,4,184.5,5,"['ekipa', 'friz', 'kacper blonsky', 'postirol', 'kartonii']"
sombr,PL,96,False,0.642,0.887,0,-3.883,1,0.0406,0.137,0.0,0.0829,0.888,115.999,4,182.088,1,['sombr']
"po prostu kajtek, kubi producent, nowe rozdanie",PL,68,True,0.39,0.704,6,-8.22,0,0.0944,0.454,0.0,0.188,0.288,134.789,4,187.176,3,"['po prostu kajtek', 'kubi producent', 'nowe rozdanie']"
sombr,PL,98,False,0.436,0.723,1,-2.291,1,0.0301,9.37e-05,8.82e-05,0.0929,0.235,92.855,4,199.032,1,['sombr']
"sobel, francis",PL,68,False,0.716,0.645,11,-5.92,0,0.0372,0.00642,0.0,0.088,0.34,95.973,4,170.624,2,"['sobel', 'francis']"
"tate mcrae, f1 the album",PL,91,False,0.656,0.796,9,-5.856,0,0.113,0.0767,0.0,0.509,0.425,129.956,4,142.55,2,"['tate mcrae', 'f1 the album']"
"bajorson, dawid obserwator, dj killer, david tango",PL,70,False,0.786,0.837,7,-7.087,0,0.084,0.247,1.64e-06,0.0604,0.87,140.04,4,222.62,4,"['bajorson', 'dawid obserwator', 'dj killer', 'david tango']"
"wizthemc, bees & honey",PL,94,False,0.714,0.691,1,-7.333,1,0.0434,0.0212,0.000292,0.111,0.155,107.15,4,176.965,2,"['wizthemc', 'bees & honey']"
ed sheeran,PL,92,False,0.663,0.899,6,-5.103,1,0.0473,0.00255,0.0,0.065,0.876,127.998,4,162.029,1,['ed sheeran']
sabrina carpenter,PL,89,True,0.731,0.685,7,-5.087,1,0.0572,0.122,0.0,0.317,0.811,123.01,4,213.645,1,['sabrina carpenter']
"tax free, cuzco$, dj.frodo",PL,66,True,0.88,0.649,0,-10.747,0,0.132,0.0121,1.66e-05,0.612,0.608,100.013,4,144.0,3,"['tax free', 'cuzco$', 'dj.frodo']"
ravyn lenae,PL,91,False,0.779,0.731,0,-6.176,1,0.0306,0.296,0.0,0.128,0.814,114.001,4,213.466,1,['ravyn lenae']
white 2115,PL,67,False,0.686,0.634,1,-7.588,1,0.0312,0.219,0.0,0.216,0.445,123.08,4,162.195,1,['white 2115']
"fukaj, charlie moncler, hubert.",PL,64,False,0.598,0.71,6,-10.342,0,0.0306,0.088,6.83e-06,0.196,0.171,140.044,4,204.221,3,"['fukaj', 'charlie moncler', 'hubert.']"
"dawid podsiadło, kaśka sochacka, zorza",PL,57,False,0.594,0.609,10,-8.141,1,0.0408,0.448,0.145,0.0986,0.18,80.984,4,273.8,3,"['dawid podsiadło', 'kaśka sochacka', 'zorza']"
"kaz bałagane, oskar83",PL,66,True,0.792,0.667,11,-7.165,0,0.186,0.0608,0.0,0.114,0.429,139.886,4,179.571,2,"['kaz bałagane', 'oskar83']"
billie eilish,PL,100,False,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4,210.373,1,['billie eilish']
żabson,PL,72,True,0.771,0.775,8,-6.298,1,0.185,0.0527,0.0,0.156,0.217,146.977,4,183.018,1,['żabson']
młody west,PL,69,True,0.721,0.596,11,-8.89,1,0.472,0.022,0.0,0.11,0.165,76.089,4,138.857,1,['młody west']
kaśka sochacka,PL,65,False,0.544,0.703,1,-8.914,1,0.0362,0.0439,0.00347,0.0851,0.455,129.979,4,232.171,1,['kaśka sochacka']
"modelki, vłodarski",PL,66,False,0.818,0.607,9,-9.827,0,0.186,0.389,2.37e-06,0.099,0.824,150.004,4,128.0,2,"['modelki', 'vłodarski']"
"dawid podsiadło, kaśka sochacka, zorza",PL,60,False,0.768,0.529,4,-8.019,0,0.0552,0.439,1.98e-05,0.0846,0.533,120.038,4,215.56,3,"['dawid podsiadło', 'kaśka sochacka', 'zorza']"
"męskie granie orkiestra, ralph kaminski, igor herbut, natalia przybysz, błażej król",PL,60,False,0.623,0.747,4,-6.197,0,0.0428,0.128,0.0,0.58,0.571,123.02,4,201.482,5,"['męskie granie orkiestra', 'ralph kaminski', 'igor herbut', 'natalia przybysz', 'błażej król']"
kronkel dom,PL,68,False,0.749,0.848,8,-6.221,0,0.19,0.395,0.0,0.0944,0.725,141.079,4,166.809,1,['kronkel dom']
"gombao 33, mata, wyguś, tadeo, szczepan",PL,70,True,0.676,0.76,8,-8.048,1,0.0583,0.261,0.0,0.265,0.227,120.057,4,164.0,5,"['gombao 33', 'mata', 'wyguś', 'tadeo', 'szczepan']"
teddy swims,PL,89,False,0.707,0.68,8,-6.203,1,0.0884,0.274,0.0,0.0932,0.62,125.058,4,184.577,1,['teddy swims']
"modelki, vłodarski",PL,68,False,0.739,0.575,11,-10.244,0,0.0396,0.633,0.0361,0.122,0.663,128.056,4,131.25,2,"['modelki', 'vłodarski']"
"dawid podsiadło, kaśka sochacka, zorza",PL,59,False,0.397,0.432,9,-10.021,1,0.0344,0.792,0.0027,0.0981,0.326,199.943,4,200.24,3,"['dawid podsiadło', 'kaśka sochacka', 'zorza']"
"moliy, silent addy, skillibeng, shenseea",PL,93,True,0.856,0.548,0,-6.609,0,0.123,0.561,0.0,0.155,0.562,97.997,4,178.775,4,"['moliy', 'silent addy', 'skillibeng', 'shenseea']"
agnieszka chylińska,PL,66,False,0.677,0.699,0,-6.432,0,0.0909,0.00671,2.6e-05,0.585,0.627,126.305,4,202.585,1,['agnieszka chylińska']
maciej skiba,PL,69,False,0.616,0.413,7,-9.195,1,0.139,0.491,0.0,0.158,0.289,163.811,3,181.875,1,['maciej skiba']
