artists,country,popularity,is_explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"Dawid Podsiadło, Kaśka Sochacka, ZORZA",PL,60,False,215560,0.768,0.529,4,-8.019,0,0.0552,0.439,1.98e-05,0.0846,0.533,120.038,4
"Męskie Granie Orkiestra, Ralph Kaminski, Igor Herbut, Natalia Przybysz, Błażej Król",PL,60,False,201482,0.623,0.747,4,-6.197,0,0.0428,0.128,0.0,0.58,0.571,123.02,4
Kronkel Dom,PL,68,False,166809,0.749,0.848,8,-6.221,0,0.19,0.395,0.0,0.0944,0.725,141.079,4
"GOMBAO 33, Mata, Wyguś, Tadeo, Szczepan",PL,70,True,164000,0.676,0.76,8,-8.048,1,0.0583,0.261,0.0,0.265,0.227,120.057,4
Teddy Swims,PL,89,False,184577,0.707,0.68,8,-6.203,1,0.0884,0.274,0.0,0.0932,0.62,125.058,4
"MODELKI, Vłodarski",PL,68,False,131250,0.739,0.575,11,-10.244,0,0.0396,0.633,0.0361,0.122,0.663,128.056,4
"Dawid Podsiadło, Kaśka Sochacka, ZORZA",PL,59,False,200240,0.397,0.432,9,-10.021,1,0.0344,0.792,0.0027,0.0981,0.326,199.943,4
"MOLIY, Silent Addy, Skillibeng, Shenseea",PL,93,True,178775,0.856,0.548,0,-6.609,0,0.123,0.561,0.0,0.155,0.562,97.997,4
Agnieszka Chylińska,PL,66,False,202585,0.677,0.699,0,-6.432,0,0.0909,0.00671,2.6e-05,0.585,0.627,126.305,4
Maciej Skiba,PL,69,False,181875,0.616,0.413,7,-9.195,1,0.139,0.491,0.0,0.158,0.289,163.811,3
"Tymek, Urbanski, Tymoteusz",PL,69,True,169939,0.755,0.634,8,-8.904,0,0.0781,0.73,0.125,0.237,0.611,124.993,4
"Chrystal, NOTION",PL,92,False,233229,0.62,0.843,6,-5.321,0,0.0844,0.0062,4.63e-06,0.55,0.237,137.812,4
Fagata,PL,70,True,144000,0.791,0.61,2,-9.74,1,0.336,0.0103,0.0,0.0686,0.716,159.98,4
Mata,PL,68,False,235773,0.571,0.667,11,-8.365,0,0.0509,0.0389,0.0136,0.166,0.438,78.031,4
"Majki, Kumi, Major SPZ",PL,67,False,138000,0.84,0.548,11,-7.636,1,0.34,0.178,0.0,0.0575,0.786,140.038,4
"Frenna, Shallipopi",NL,78,False,156080,0.868,0.731,11,-5.949,0,0.0793,0.0744,0.112,0.0808,0.785,117.016,4
"Roeland Beelen, Lil Kleine",NL,67,True,146727,0.82,0.934,9,-2.96,0,0.0794,0.0986,0.0,0.0848,0.937,125.957,4
Alex Warren,NL,95,False,186964,0.368,0.694,2,-6.141,1,0.06,0.704,6.59e-06,0.055,0.391,168.115,3
"Lustrum U.V.S.V./N.V.V.S.U., Jopke van Dobbenburgh, Roeland Beelen",NL,74,True,167804,0.784,0.698,9,-7.786,0,0.0511,0.248,1.44e-06,0.146,0.819,122.998,4
Samuel Welten,NL,78,False,152659,0.469,0.724,1,-7.008,1,0.0526,0.0302,0.0,0.0949,0.501,131.385,4
"Dior, Cristian D",NL,68,True,158132,0.613,0.661,5,-7.671,0,0.406,0.376,0.0,0.108,0.812,128.701,5
Pommelien Thijs,NL,78,False,180013,0.732,0.558,7,-6.816,1,0.124,0.49,0.0,0.0909,0.637,119.999,4
"Zoë Livay, Snelle",NL,75,False,174288,0.573,0.474,5,-7.992,1,0.0303,0.486,3.85e-06,0.091,0.221,96.749,3
Ed Sheeran,NL,92,False,162029,0.663,0.899,6,-5.103,1,0.0473,0.00255,0.0,0.065,0.876,127.998,4
Suzan & Freek,NL,71,False,172317,0.527,0.231,2,-10.564,1,0.0515,0.911,0.0,0.103,0.306,163.657,4
"Froukje, S10",NL,74,True,146400,0.787,0.734,11,-5.058,0,0.0402,0.0601,0.0,0.343,0.947,124.987,4
"WizTheMc, bees & honey",NL,94,False,176965,0.714,0.691,1,-7.333,1,0.0434,0.0212,0.000292,0.111,0.155,107.15,4
Tommy Cash,NL,79,False,173746,0.678,0.694,11,-6.183,0,0.0487,0.0123,1.62e-05,0.133,0.646,119.87,4
Ravyn Lenae,NL,91,False,213466,0.779,0.731,0,-6.176,1,0.0306,0.296,0.0,0.128,0.814,114.001,4
Robert van Hemert,NL,72,False,147367,0.835,0.732,11,-6.173,1,0.0602,0.0225,0.0,0.246,0.846,110.07,4
"Bizzey, Ronnie Flex, Russo",NL,73,True,135325,0.748,0.713,7,-5.894,0,0.0408,0.242,5.07e-06,0.0985,0.875,101.297,4
"Alex Warren, Jelly Roll",NL,90,False,182008,0.621,0.779,4,-6.346,0,0.056,0.255,0.0,0.0683,0.513,127.925,4
"FLEMMING, Mart Hoogkamer",NL,74,False,151493,0.644,0.906,9,-3.335,1,0.053,0.0578,0.0,0.155,0.496,144.995,4
Claude,NL,81,False,160281,0.481,0.457,9,-8.264,1,0.0478,0.267,0.0,0.135,0.271,123.957,4
Lola Young,NL,89,True,284066,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
Tino Martin,NL,64,False,182618,0.703,0.779,0,-5.373,1,0.038,0.178,0.0,0.241,0.96,129.025,4
Sabrina Carpenter,NL,89,True,213645,0.731,0.685,7,-5.087,1,0.0572,0.122,0.0,0.317,0.811,123.01,4
Antoon,NL,74,False,150620,0.588,0.867,0,-5.949,1,0.0344,0.116,0.0559,0.295,0.168,145.027,4
"Brokezart, Lusho, Def, YGN KAMII",NL,61,True,190477,0.557,0.625,7,-7.857,1,0.0724,0.204,0.0,0.231,0.322,142.006,4
"Idaly, Milolaathetlukken",NL,73,True,141320,0.939,0.683,5,-6.768,1,0.188,0.0424,1.78e-06,0.0901,0.675,123.968,4
"Jonna Fraser, Lil Kleine",NL,70,False,176518,0.875,0.672,4,-6.064,0,0.243,0.0502,1.32e-05,0.113,0.613,115.949,4
